,A,Ant,B,Br,C,D,D2,E,F,G,Ge,K,L,O,W,Y,Z
M1_19_235,soete martin men leset dat,None,soete martijn men leest dat,None,zoete martijn men leest dat,soete martijn men leest dat.,None,None,suete merten men leest dat,suete merten men leest dat:,None,None,None,soete martin men leset dat,None,None,None
M1_19_236,al gauic wech lijf ende scat,None,al gaue ic wech goet ende scat,None,al gaue ic wech lijf ende scat,al gaue ick wech goet ende scat.,None,None,al gaef ic wech goet ende scat,al gauic wech gout ende scat:,None,None,None,al gauic wech goed ende scat,None,None,None
M1_19_237,ende ghedoghede grote coude,None,ende ghedoghede groot coude,None,ende ghedoghede grote coude,ende doghede grote coude.,None,None,ende doghede grote coude,ende gedoegede grote coude:,None,None,None,ende doechde groote coude,None,None,None
M1_19_238,ware ic in hooft sonden mat,None,wair ic in hooft sonden mat,None,weer ic in hoeftsonden mat,waer ic in hoeft sonden mat,None,None,waer ic in hooft sonden mat,waric in hoeftsonden mat:,None,None,None,waer ic in hooft zonden mat,None,None,None
M1_19_239,het en diedde mi niet een blat,None,het en holpe mi niet een blat,None,hen vromede mi niet een blat,ten holpe mi niet een blat.,None,None,en holpe mi niet een blat,en holpe mi niet .i. blat:,None,None,None,en holpe my niet een blat,None,None,None
M1_19_240,die nieuwe wet spreect ende toude,None,die nyewe wet seghet ende de oude,None,die nuwe wit spreect ende die oude,spreect die nieuwe wet ende doude,None,None,sprect die nuwe wet ende doude,die nuwe wet ende doude:,None,None,None,spreect de niewe wet ende doude,None,None,None
M1_19_241,die ons dus nauwe maken den pat,None,die ons dus nauwe maken den pat,None,die ons dus nauwe maken den pat,die ons dus nauwe maken den pat/,None,None,die ons dus nauwe maken den pat,die ons dus nauwe maken den pat:,None,None,None,die ons dus nauwe maken den pat,None,None,None
M1_19_242,te hemele waert ende so glat,None,ten hemel wairt ende so glat,None,tehemel waert ende zo glat,te hemelwaert ende oeck soe glat,None,None,te hemelwaert ende zo glat,te hemel wert ende so glat:,None,None,None,te hemelwaert ende so glat,None,None,None
M1_19_243,ic wilde god selue woude,None,ic wilde god selue woude,None,ic wilde god zelue woude,ick wildet god seluer woude,None,None,ic wilde dat god selue woude,jc woudt god selue woude:,None,None,None,ic wilde dat god zelue woude,None,None,None
M1_19_244,dat si portiers waren ghesat,None,dat si portiers waren ghesat,None,dat ze portiers waren ghesat,dat sy poertiers waren ghesat,None,None,dat sij poirtiers waren ghesat,dat si portiers waren gesat:,None,None,None,dat zij poorters waren ghesat,None,None,None
M1_19_245,ter hellen si souden tgat,None,ter hellen si souden tgat,None,ter hellen zi zouden tgat,ter hellen sy soudent gat,None,None,ter hellen. sij souden tgat,ter hellen si souden tgat:,None,None,None,ter hellen zij zouden tgat,None,None,None
M1_19_246,so houden met ghewoude,None,so s houden mit ghewoude,None,zo hoeden met ghewoude,soe houden met ghewoude,None,None,soe houden met ghewoude,so houden met gewoude:,None,None,None,so houden met ghewoude,None,None,None
M1_19_247,dattre cume iemene in soude,None,datter comen yement in soude,None,datter cume yemen in zoude,datter nau yemant in soude,None,None,datter cume yement in comen soude,datter cume iemen in soude:,None,None,None,datter cume yement in zoude,None,None,None
M1_20_248,iacop menech prouft ende coort,None,iacop menich prouft ende coort,None,iacob menich proeft ende coert,iacop menich proeft ende coert,None,None,iacob menich proeft ende becoirt,iacob menech proeft ende coert:,None,None,None,iacob menich prouft ende coort,None,None,None
M1_20_249,der helegher scrifturen wort,None,der heligher scrifturen woort,None,der heiligher scrifturen woert,der heylighen scriftueren woert.,None,None,der heiliger scriftueren woirt,der heilegher screfturen woert:,None,None,None,der heiligher scrifturen woort,None,None,None
M1_20_250,ende waense wel ghegronden,None,ende wanense ghegronden,None,ende waentse ghegronden,ende wanense ghegronden,None,None,ende wanense wel ghegronden,ende waentse gegronden:,None,None,None,ende wanense ghegronden,None,None,None
M1_20_251,so clapt hijt leeken lieden vort,None,dan clappen zijt leken lieden voort,None,zo clapt hi leken luden voert,dan clapt hijt leeken lieden voort,None,None,dan clappen zijt leecken lieden voirt,dan clappen sijt leeken lieden voert:,None,None,None,dan clappen zijt leken lieden voort,None,None,None
M1_20_252,die gherne nieuwe dinghen hort,None,dat gheerne niewe dinghen hoort,None,dat gherne nuwe dinghe hoert,die gaerne nieuwe dinghen hoert,None,None,die gheerne nieuwe dingen hoirt,dat gerne van nuwen dingen hoert:,None,None,None,die gheerne niewe dijnghen hoort,None,None,None
M1_20_253,wat hi heuet vonden,None,wat si hebben vonden,None,wat hi heeft vonden,van dat hy heuet gheuonden,None,None,wat hij heuet vonden,wat si hebben vonden:,None,None,None,wat zij hebben vonden,None,None,None
M1_20_254,selue verstaet hijs niet een ort,None,selue en verstaen zijs niet en woirt,None,zelue en verstaet hijs niet een oert,seluer en verstaet hijs niet een oert,None,None,selue verstaet hijs niet een woirt,selue en verstaen sijs niet een oert:,None,None,None,selue verstaen zijs niet een woort,None,None,None
M1_20_255,dits meerre mesdaet dan mort,None,dits meerre misdaet dan moort,None,dits meerre misdaet dan moert,dits meerder mesdaet dan moert,None,None,dits meerder mesdaet dan moort,dits meerre mesdaet dan moert:,None,None,None,dits meerder mesdaet dan moort,None,None,None
M1_20_256,dat si gods wort dus wonden,None,datsi gods woort dus wonden,None,dat zij gods woert dus wonden,dat sy gods woert dus wonden,None,None,dat sij gods woort dus wonden,dat si gods woert dus wonden:,None,None,None,dat zij gods woort dus wonden,None,None,None
M1_20_257,hier naeyen sijt hier eyst ghescort,None,hier naeyen zijt hier ist gescoirt,None,hier nayen zijt hier eest ghescoert,hier nayen sijt hier ist ghescoert,None,None,hier nayen sijt hier eest gescoort,hier nayen sijt daer eest gescoert:,None,None,None,hier nayen zijt daer eist ghescoort,None,None,None
M1_20_258,hier breect een naghel hier .i. bort,None,None,None,hier breect een naghel hier een boert,hier brect een naghel daer een boert,None,None,hier brect een nagel hier een boort,hier gebrect een nagel daer een boert:,None,None,None,hier breect een naghel daer een boort,None,None,None
M1_20_259,wapene vanden honden,None,waphene vanden honden,None,wapene van den honden,wapen ouer die honden,None,None,wapene ouer dese honden,wapen ouer die honde:,None,None,None,waphe van dien honden,None,None,None
M1_20_260,nu ende tallen stonden,None,nu ende te allen stonden,None,nu en tallen stonden.,nv ende tot allen stonden:,None,None,nu ende tallen stonden,nu ende in elke stonde:,None,None,None,nu ende tallen stonden,None,None,None
M1_21_261,vvanen si die wort ghegronden saen,None,wanen si de woort gegronden zaen,None,waenen zij die woerde ghegronden zaen,wanen sy dat woert gegronden saen,None,None,wanen zij die wort gegronden saen,wanen si die woerde gegronden saen:,None,None,None,wanen zij die woorden zaen,None,None,None
M1_21_262,daer die wortele ane staen,None,dair te wortelen alle of staen,None,daer die wortele ane staen,daer die wortelen af staen.,None,None,dair die wortele ane staen,daer die wortelen aue staen:,None,None,None,daer die wortelen ane staen,None,None,None
M1_21_263,gheplant in hemelrike,None,gheplant in hemelrike,None,gheplant in hemelrike,gheplant in hemelrike/,None,None,gheplant in hemelrike.,gheplant in hemelrike:,None,None,None,gheplant in hemelrijke,None,None,None
M1_21_264,si iaghen vele ende cleene si vaen,None,si iaghen vele maer clene si vaen,None,zij jaghen vele ende clein zij vaen,sy iaghen vele. tcleyne sy vaen.,None,None,sij iagen vele mer cleue sij vaen,si iagen vele lettel si vaen:,None,None,None,vele zij iaeghen lettel zij vaen,None,None,None
M1_21_265,so willen si tsamen slaen,None,dan willen si te samen slaen,None,zo willen zij tesamen slaen,dan willen sijt te gader slaen/,None,None,dan willen zij te gader slaen,dan willen sijt te gadere slaen:,None,None,None,dus wanen zij te gader slaen,None,None,None
M1_21_266,ghelike ende onghelike,None,ghelike ende onghelike,None,ghelijc ende onghelike,ghelijck ende onghelijke,None,None,ghelijc ende onghelike,tgelike ende dongelike:,None,None,None,ghelijc ende onghelijke,None,None,None
M1_21_267,dies latic mijn vraghen gaen,None,dies latic dijn vraghen staen,None,des laet ic mijn vraghen staen,dan dien laet ic mijn vraghen staen/,None,None,dies laet ic miin vragen staen,dies latic mijn vragen staen:,None,None,None,hier af latic mijn vraghen staen,None,None,None
M1_21_268,want het dinct mi best ghedaen,None,want het dinct my best ghedaen,None,want het dunct mi bet ghedaen,want het dunct my best ghedaen,None,None,het dunct mi best ghedaen,want het dunct mi best gedaen:,None,None,None,want het dijnct my best ghedaen,None,None,None
M1_21_269,dat ic hier af wike,None,dat icker of wike,None,dat ic hier af wike,dat ick hier af wijke,None,None,dat ic hier aff wijke,dat ic hier af wike:,None,None,None,None,None,None,None
M1_21_270,dan ic viel in dommen waen,None,dan ic u viele in dommen waen,None,dan ic viele in doemen waen,dan ick viele in dommen waen,None,None,dan ic vele in eenen dommen waen,dan ic viele in dommen waen:,None,None,None,danne ic viele in domme waen,None,None,None
M1_21_271,ende nutter eist dat hi vliet de naen,None,nutter is dat hi vlie den aen,None,nutter eest vlien den naen,beter ist dat ick vlie den naen/,None,None,beter es dat ic vlye die naem,beter es dat hi vlie die waen:,None,None,None,beter eist dat hij vliet die naen,None,None,None
M1_21_272,dan hi te campe strike,None,dan hi te campe strike,None,dan ic te campe strike,dan ick ten campe strijke,None,None,dan ic te kempe strijke,dan hi te campe strike:,None,None,None,dan hij te campe strijke,None,None,None
M1_21_273,ieghen den kempe eerlike,None,jeghen den kempe eerlike,None,jeghen den kempe eerlike.,jeghen den kemper eerlijke.,None,None,jegen den kempe eerlike,jegen den kimpe eerlike:,None,None,None,jeghen den kamper eerlijke,None,None,None
M1_22_274,of god ten joncsten daghe sal,None,als god ten ionxten daghe sal,None,of god ten ioncsten daghe zal,of god ten ionxten daghe sal.,None,None,oft god ten ioncten dage zal,None,None,None,None,of god ten ionxten daghe zal,None,None,None
M1_22_275,ghepeins ende wort berechten al,None,ghepens ende wort berechten al,None,ghepeins ende woerde berichten al,ghepeyns ende woert berechten al,None,None,ghepens ende woort bezichten al,None,None,None,None,ghepeis ende woort berechten al,None,None,None
M1_22_276,daer wi in oint mesdaden,None,dair wi ye in misdaden,None,daer wij oyt in misdaden,daer wi oyt in mesdaden/,None,None,dair wij oyt in mesdaden,None,None,None,None,daer wij ye in mesdaden,None,None,None
M1_22_277,soudi alse eenen onwerden bal,None,soude hi als een onweert bal,None,zoude hi alse een onwaert bal,soudhi als een onwaert bal,None,None,soudi als een onweert bal,None,None,None,None,twij zoude hij als een onweert bal,None,None,None
M1_22_278,weldaet werpen int helsche dal,None,weldaet werpen int helsche dal,None,weldaet werpen int helsche dal,weldaet worpen int helsche dal,None,None,weldaet werpen int helsche dal,None,None,None,None,weldaet werpen int helsche dal,None,None,None
M1_22_279,so ware hi sonder ghenaden,None,so ware hi sonder genaden,None,zo weer hi zonder ghenaden,soe waer hi sonder ghenaden,None,None,soe waer hij sonder genaden,None,None,None,None,so waere hij sonder ghenaden,None,None,None
M1_22_280,neen hi en es niet so smal,None,neen hi hets niet so smal,None,neen het en is niet zo smal,neen. hi en is niet soe smal.,None,None,neen hij ne es niet soe smal,None,None,None,None,neen het en es niet zo smal,None,None,None
M1_22_281,van wel daden dat ghetal,None,van weldaden dat ghetal,None,van weldaden al dat ghetal,van weldaden int ghetal,None,None,van weldaden dat ghetal,None,None,None,None,van weldaden dat ghetal,None,None,None
M1_22_282,hen wert van grade te graden,None,het wert van grade te graden,None,ende werde van grade tegraden,ende wort van grade te graden:,None,None,ende wort van grade te grade,None,None,None,None,en werd van grade te graden,None,None,None
M1_22_283,van gode ghedanct die noyt en al,None,van gode ghedanct die noyt ende al,None,van gode ghedanct die niene hal,van gode ghedanct die nye en hal,None,None,van gode ghedanct die nie en hal,None,None,None,None,van gode gheloont die noyt hal,None,None,None
M1_22_284,wat men wel dede ofte stal,None,datmen wel dede of stal,None,dat men dede ofte stal,datmen wel dede of stal/,None,None,datmen weldede ofte stal,None,None,None,None,wat men wel dede of stal,None,None,None
M1_22_285,gherechtichede soude scaden,None,gherechtichede soude scaden,None,gherechticheide zonder scaden,gherechticheyt soude scaden,None,None,gherechticheyt soude scaden,None,None,None,None,gherechtichede zoude scaden,None,None,None
M1_22_286,hen horde god niet die baden,None,hoirde god niet de baden,None,hoerde god niet die baden.,en hoorde god niet die baden,None,None,en hoorde god niet die baden,None,None,None,None,en hoorde god niet de baden,None,None,None
M1_23_287,dat seit dat gheloue mijn,None,dat seit dat gheloue mijn,None,dat zeeght die gheloue mijn,wat seyt dat gheloue mijn,None,None,dat zeyt tgheloeue mijn.,dat seget tgeloeue mijn:,None,None,None,het segghet dat gheloue mijn,None,None,None
M1_23_288,god moet in hem seluen sijn,None,god moet in hem seluen zijn,None,god moet in hem zeluen zijn,god moet in hem seluen sijn,None,None,god moet in hem seluen ziin,god moet in hem seluen sijn:,None,None,None,god moet in hem zeluen zijn,None,None,None
M1_23_289,hine mach el nieweren wesen,None,hi en mach el niewer wesen,None,hine mach els nerghen wesen,hi en mach anders niewert wesen,None,None,hine mach el niewers wesen,hine mach el niewer wesen:,None,None,None,hij en mach el niewer weesen,None,None,None
M1_23_290,hi es gherechticheden fijn,None,god es gherechtich ende fijn,None,god is gherechticheiden fijn,hi is gherechtich ende fijn,None,None,hij es gherechtich ende fiin,hi es gerechtech ende fijn:,None,None,None,god es gherechtich ende fijn,None,None,None
M1_23_291,ende ghenadichede dats anschijn,None,ende genadich dats aenscijn,None,ende ghenadicheiden dats aenscijn,ende ghenadich dat is anschijn.,None,None,ende ghenadich dats aenschijn,ende genadech dat es wel anschijn:,None,None,None,ende ghenadich dats aenschijn,None,None,None
M1_23_292,hets al een van desen,None,hi es als een van desen,None,hi is allene van desen,hi is al een van desen,None,None,hij es alleen van desen,dits al een van desen:,None,None,None,het es al een van deesen,None,None,None
M1_23_293,die vanden watre maecte wijn,None,die van water maicte wijn,None,die van den water maecte wijn,die vanden water maecte wijn/,None,None,die vanden water maecte wiin,die van den watere maecte wijn:,None,None,None,die van den watre maecte wijn,None,None,None
M1_23_294,hine es sijns selues niet eyghijn,None,nes zijns selues niet eghijn,None,die en is zijns selues niet eyghijn,hi is sijns selfs eyghijn:,None,None,hine es siins selfs niet eyghin,hines sijns selfs niet eygijn:,None,None,None,en es sijns selfs niet eyghin,None,None,None
M1_23_295,wat so die dore lesen,None,wat so die doren lesen,None,wat zo die doren lesen,soe wat die dooren lesen,None,None,soe wat die doeren lesen,wat dat die dore lesen:,None,None,None,wat zij die zotten leesen,None,None,None
M1_23_296,iacop hout dat gheloue dijn,None,jacop hout tgheloue dijn,None,jacob hout die gheloue dijn,jacop houtet gheloue dijn.,None,None,jacop hout tgheloeue mijn,jacob houde tgeloeue dijn:,None,None,None,jacob hout dat tgheloue dijn,None,None,None
M1_23_297,hets menich onbesceeden zwijn,None,hets menich onbesceldich zwijn,None,hets menich ombesceiden swijn,hets menich onbescheeden zwijn,None,None,hets menich onbescheden zwijn,want hets menech onbesceeden swijn:,None,None,None,hets menich onbesceiden zwijn,None,None,None
M1_23_298,te priesterscap gheresen,None,te priesterscap gheresen,None,ter priesterscap verresen,te priesterschape gheresen,None,None,te priesterscape gheresen,te priesterscape geresen:,None,None,None,te priesterscepe ghereesen,None,None,None
M1_23_299,dies niet en mach ghenesen,None,die niet mach ghenesen,None,die niene can ghenesen.,dies niet en can ghenesen,None,None,dies niet en kan ghenesen,dies niet en can genesen:,None,None,None,die niemende can ghenesen,None,None,None
M1_24_300,martijn dijn gheloue es goet,None,martijn dijn gheloue es goet,None,martijn dijn andworde is goet,martijn dyne gheloue is goet,None,None,merten dine antwoirde es goet,merten dine antwerdde es goet:,None,None,None,martin dijn andwoorde es goed,None,None,None
M1_24_301,ic bem dies seker ende vroet,None,dies bin ic seker ende vroet,None,ic ben dies zeker ende vroet,ick ben des seker ende vroet/,None,None,ic bin dies zeker ende vroet,jc ben dies seker ende vro:,None,None,None,ic bem dies zeker ende vroet,None,None,None
M1_24_302,weldaet wert niet vergheten,None,weldaet wert niet vergheten,None,weldaet en waert nie vergheten,weldaet en wort niet vergheten,None,None,weldaet en wert niet vergheten,weldaet en wert niet vergeten:,None,None,None,weldaet wert niet vergheten,None,None,None
M1_24_303,laet hem begaen diet ghelden moet,None,laet hem begaen diet ghelden moet,None,laet hem begaen diet ghelden moet,laet hem begaen diet ghelden moet.,None,None,laet hem begaen diet ghelden moet,laet hem begaen diet gelden moet:,None,None,None,laet hem begaen diet ghelden moet,None,None,None
M1_24_304,ende diet al bi redenen doet,None,ende diet al bi redene doet,None,ende diet al bi redene doet,ende diet al bi reden doet.,None,None,ende diet al bij redenen doet,ende diet al bi redenen doet:,None,None,None,ende diet al bi redene doet,None,None,None
M1_24_305,nemmeer en willix weten,None,nemmer en willix weten,None,niet meer en wil ics weten,niet meer en wil ics weten,None,None,nemmeer en wil ics weten,nemmeer en willics weten:,None,None,None,niet en willics weeten,None,None,None
M1_24_306,hi es die ghene diet al behoet,None,hi es diet al maict ende hoet,None,hi is diet al maect ende hoedt,hi es diet al maect ende behoet,None,None,hii es diet al maecte ende behoet,hi es diet al maect ende behoedt:,None,None,None,hij es diet al merct ende behoet,None,None,None
M1_24_307,alse die hinne hare kiekine broet,None,also die henne teye broet,None,alse die henne die kiekene broedt,alsoe die henne haer kieken broet:,None,None,ghelijc die hinne die kieken broet,alsoe die hinne har kiekene broedt:,None,None,None,alse die hinne haer kiekine broet,None,None,None
M1_24_308,heeft hijt al beseten,None,heeft hijt al beseten,None,heeft hijt al beseten,soe heeft hijt al beseten.,None,None,heeft hij al beseten.,heeft hijt al beseten:,None,None,None,heeft hijt al beseten,None,None,None
M1_24_309,hi gheuet ons ziele vleesch ende bloet,None,hi gheeft ons ziele vleesch ende bloet,None,wy gheuen hem ziele vleisch ende bloet,hi geeft ons siele vleesch ende bluet,None,None,hij gheeft ons ziele vleesch ende bloet,wi geuen hem siele vleesch ende bloet:,None,None,None,hij gheeft ons ziele lijf ende bloet,None,None,None
M1_24_310,hi hoet ons vorden helschen gloet,None,hi hoet ons voir de helsche gloet,None,hi hoedt ons voer die helsche gloet,hi hoet ons voer die helsche gloet/,None,None,hij behoet ons voir die helsche gloet,hi hoedt ons vore die helsche gloet:,None,None,None,ende wacht ons voor die helsche gloet,None,None,None
M1_24_311,dat wi niet werden te sleten,None,dat wi niet werden verbeten,None,dat wij niene werden tereten,dat wi niet en werden verbeten,None,None,dat wij niet en werden verbeten,dat wi niet en werden verbeten:,None,None,None,dat wi niet en worden verbeten,None,None,None
M1_24_312,ten ioncsten noch verbeten,None,ten ionxten daghe noch ghesleten,None,ten joncsten noch verbeten.,ten ionxten daghe noch versleten:,None,None,ten ioncsten dage no doir gheten,ten ionxsten dage no geten:,None,None,None,ten ionxsten noch doereten,None,None,None
M1_25_313,martin menich parlement,None,martijn die meneghe parlement,None,martijn menich parlement,martijn die meyninghe parlement,None,None,merten menich perlement,merten menech perlement:,None,None,None,martin menich maect perlement,None,None,None
M1_25_314,ende seghet die minne es blent,None,ende seit dat minne es blent,None,men zeeght dat die minne is blent,ende seyt dat die minne is blent.,None,None,men seit dat die minne es blent,es om die minne dat si es blent .,None,None,None,ende segghet dat die minne es blent,None,None,None
M1_25_315,oec eist een woert ghemeene,None,oic eest een woort ghemene,None,oec eest een woert ghemene,oeck ist een woert ghemeene,None,None,oic eest een woort ghemeene,oec eest een woert gemeene:,None,None,None,doch eist een woort ghemene,None,None,None
M1_25_316,omme dat ic ben een onwijs rent,None,om dat ic ben een onwijs rent,None,om dat ic ben een onwijs rent,om dat ick ben een onwijs rent,None,None,om dat ic bin een onwijs rent,om dat ic ben een onwijs rent:,None,None,None,omme dat ic ben een onwijs rent,None,None,None
M1_25_317,so mac mi dese wort bekent,None,maec mi deser dijn bekent,None,zo make mi dese redene bekent,maect mij dese dinck bekent,None,None,maect mi dese woirde bekent,so maect mi dese woerde bekent:,None,None,None,maect my deese woort bekent,None,None,None
M1_25_318,want ennes niet cleene,None,want ens wijsheit niet clene,None,want en is niet clene,ten is niet wijsheyt cleene,None,None,en es niet wijsheyt cleene,want en es niet cleene:,None,None,None,want en es wijsheit niet clene,None,None,None
M1_25_319,es dat waer so es minne torment,None,es dat wair so es minne torment,None,is dat waer zo is minne torment,eest waer soe is mine torment,None,None,es dit waer soe es minne torment,es dat waer so es minne torment:,None,None,None,es dat waer zo es minne torment,None,None,None
M1_25_320,entie hare volghet es ghescent,None,die hare volghede ware ghescent,None,die haer uolghede waer ghescent,die haer volchde waer gheschent,None,None,die haer volghede waer geschent,die hare volgde ware gescent:,None,None,None,die haer volgde ware ghescent,None,None,None
M1_25_321,ende onteert al reene,None,ende onteert al rene,None,ende ondeert alrene,ende onteert alteene:,None,None,ende onteert al reene,ende onteert al reene:,None,None,None,ende ontheert al reene,None,None,None
M1_25_322,nu seghet elc wise al omtrent,None,nu seit elc wise al omtrent,None,nu zeghet elc wise ommetrent,nv seyt elc wijse al omtrent,None,None,nu seit elc wijse al omtrent,nu seget elc wise al omtrent:,None,None,None,nu seit elc wise al omtrent,None,None,None
M1_25_323,dat minne dat edele instrument,None,dat minne tsoete instrument,None,dat minne dat zoete instrument,daer minne dat soete instrument,None,None,dat minne dat zuete instrument,dat minne dat suete instrvment:,None,None,None,dat minne dat zoete instrument,None,None,None
M1_25_324,gode van nazareene,None,jhesum van nazarene,None,gode van nazarene,god van nazarene,None,None,gode van nazarene,gode van nazareene:,None,None,None,jhesum van nazarene,None,None,None
M1_25_325,brochte in desen weene,None,brochten in desen wene,None,bracht in dese wene.,brocht in dese weene:,None,None,brochte in desen weene,brochte in desen weene:,None,None,None,brochte in desen weene.,None,None,None
M1_26_326,iacop dijn vraghen es swaer,None,iacop dijn vraghen es zwair,None,iacob dijn vraghen is swaer,iacop dijn vraghen is zwaer/,None,None,iacop diin vrage es zwaer,iacob dijn vragen es swaer:,None,None,None,iacob dijne vraghe es zwaer,None,None,None
M1_26_327,doch proeftmen in redene claer,None,doch prouftmen mit redenen clair,None,doch proeftmen bi redene claer,doch proeftmen met reden claer,None,None,doch proeftmen openbaer,doch ftmen bi redenen claer:,None,None,None,doch prouftment bi redene claer,None,None,None
M1_26_328,drierhande minne,None,clair drierande minne,None,drierhande minne,drierhande minne,None,None,drierhande minne,drierande minne:,None,None,None,drie derhande minne.,None,None,None
M1_26_329,deerste dats caritate dats waer,None,deerste es caritate dats wair,None,die ierste heit caritate dats waer,deerste is caritate dats waer,None,None,¶ die ierste es caritate dats waer,dierste es caritate dats waer:,None,None,None,deerste es caritate dats waer,None,None,None
M1_26_330,dies sonder pine ende vaer,None,die es sonder pine ende vaer,None,die is zonder pine ende zonder vaer,si is sonder pine ende vaer:,None,None,die es sonder pine ende vaer,die es sonder pine ende vaer:,None,None,None,die es zonder pine ende vaer,None,None,None
M1_26_331,ende daer woent god inne,None,ende dair woent god inne,None,ende daer woent god inne,ende daer woent god inne/,None,None,ende daer woent god inne,ende daer woent god inne:,None,None,None,ende daer woent god jnne,None,None,None
M1_26_332,dander trect die weerelt naer,None,dander truct de werelt naer,None,die ander trect die werelt naer,dander trect de werelt naer.,None,None,¶ dander trect die werelt naer,dander trect die werelt naer:,None,None,None,dander trect de weerelt naer,None,None,None
M1_26_333,om eere om goet staet al haer gaer,None,om ere om goet staet hair gaer,None,om ere om goet staet al hoer gaer,om eer om goet is al haer gaer,None,None,om eere om goet staet al haer gaer,om eere om goet steet al hare gaer:,None,None,None,om eere om goet staet al haer gaer,None,None,None
M1_26_334,dits eene bastaerdinne,None,dits een bastaerdinne,None,dits ene bastardinne,dats eene bastaerdinne,None,None,dat es eene bastaertdinne,ende dats ene bastardinne:,None,None,None,ende dat es de bastardinne,None,None,None
M1_26_335,die derde minne heescht die jaer,None,de derde minne heescht de jaer,None,die derde minne eescht die iaer,die derde minne eyschet de iaer,None,None,¶ die derde minne eyschen die iaer,die derde eyscht die bloyende iaer:,None,None,None,de derde heeschet bloyende iaer,None,None,None
M1_26_336,als bi naturen elc doet sijn paer,None,als bi naturen elc doet zijn paer,None,alse bi naturen elc zijn paer,als by natuere elc doet sijn paer,None,None,als bij natueren elc siin paer,als bi naturen elc doet sijn paer:,None,None,None,als by naturen elc souct zijn paer,None,None,None
M1_26_337,al noch sijn si dinne,None,als noch sijn die dinne,None,aldoch zijn zij dinne,al doch sijn sy dinne,None,None,al doch siin zij dinne.,maer doch sijn si dinne:,None,None,None,maer doch zijn zij dinne,None,None,None
M1_26_338,die deser volghen bi sinne,None,die deiser volghen bi sinne,None,die deser uolghen bi zinne,die deser volghen met sinne,None,None,die deser volghen met zinne,die deser volgen met sinne:,None,None,None,die deser volghen met zinne,None,None,None
M1_27_339,deerste minne es so groot,None,deerste minne es so groot,None,die ierste minne is zo goet,deerste minne is soe groot,None,None,deerste minne es soe groot,dierste minne es so grot:,None,None,None,deerste minne es zo groet,None,None,None
M1_27_340,dat alleene dat god gheboot,None,dat allene dat god geboot,None,dat alle die god ie gheboet,dat al dat god ye gheboot,None,None,dat alleene dat god ye geboot,dat al dat god ie geboet:,None,None,None,dat al dat god ye gheboet,None,None,None
M1_27_341,vul prijsde niet haer werde,None,volprijsde mit hairre wairde,None,volprijsden niet haer weerde,volprijsde hy met haer waerde.,None,None,en volprijsde niet haer weerde,en volpresen niet hare werde:,None,None,None,volprijsde niet haer weerde,None,None,None
M1_27_342,iane trac so themesche broot,None,jane trac so themelsche broot,None,ja en trecte si themelsche broet,ja sy track themelsche broot/,None,None,ja sij trac themels broot,want si trac themelsche broet:,None,None,None,ja ne tracse niet themelsche broot,None,None,None
M1_27_343,hier neder inder magheden scoot,None,hier neder inder maichden scoot,None,hier neder in der maghet scoet,hier neder inder maghet schoot/,None,None,hier neder inder maghet scoot,hier neder inder maget scoet:,None,None,None,hier neder in der maechden scoet,None,None,None
M1_27_344,onder der ioden zwerde,None,onder der ioden zwairde,None,onder der ioeden sweerde,onder der ioden swaerde,None,None,onder der ioden zweerde,onder der ioden swerde:,None,None,None,onder der jueden zweerde,None,None,None
M1_27_345,minne es god dat merct al bloot,None,minne es goet merc al bloot,None,minne is god dat merct albloet,minne is god merctet al bloot,None,None,minne es god die merct al bloot,dese minne es god dat merct al bloet:,None,None,None,minne es god dit merct al bloet,None,None,None
M1_27_346,wie mochte els bringhen inder noot,None,wie mochte els bringhen inde no#ot,None,wie mochten els breinghen in der noet,wie mochten brenghen inder noot,None,None,wie mochten anders bringen inder noot,wie mochte els bringen in selker noet:,None,None,None,wie brochte anders in der noot,None,None,None
M1_27_347,hem diet al verwerde,None,hem diet al veruairde,None,hem diet al verueerde,hem. diet al verwaerde/,None,None,hem diet al verueerde,hem diet al uerwerde:,None,None,None,hem diet al verweerde,None,None,None
M1_27_348,dan die hem seluen daer in besloot,None,dat hi hem seluen dair in sloet,None,dan hi hem zeluen daer in besloet,dan hi hem daer inne besloot,None,None,dan hij hem dair in besloot,daer hi hem seluen in besloet:,None,None,None,dan hi hemzeluen daer in besloet,None,None,None
M1_27_349,ende dor ons sijn bloet root,None,die der minen zijn bloet root,None,die doer die minne zijn bloet roet,die doer minne sijn bluet root,None,None,die doer minne sijn bloet root,die dore minne sijn bloet roet:,None,None,None,ende doer minne zijn bloet root,None,None,None
M1_27_350,storte hier neder vp derde,None,sturte op die airde,None,storte hier neder op derde,storte hier op daerde,None,None,storte hier neder op deerde,storte hier op derde:,None,None,None,storte hier vp de eerde,None,None,None
M1_27_351,ende in minnen hem openberde,None,ende minne openbairde,None,ende in minnen openberde.,ende minne openbaerde:,None,None,ende in minne openbaerde,ende sine minne oppenberde:,None,None,None,ende in minnen openbeerde,None,None,None
M1_28_352,vvien dat selke minne es cont,None,wie so sulke minne es cont,None,wien zo zulke minne is cont,o dien sulcke minne is cont/,None,None,wien dat sulke minne es cont,wien dat selke minne es cont:,None,None,None,wient dat zulke minne es cont,None,None,None
